file	rc	duration_seconds	state	reason
test_bf16.py	0	5	executed	completed
test_fast.py	1	49	executed	completed
test_compile.py	1	6	executed	completed
test_eval.py	0	27	executed	completed
test_export_import.py	1	21	executed	completed
test_memory.py	0	0	executed	completed
test_threads.py	0	7	executed	completed
test_graph.py	0	0	executed	completed
test_constants.py	0	1	executed	completed
test_device.py	0	0	executed	completed
test_double.py	0	1	executed	completed
test_load.py	0	12	executed	completed
test_zero_copy.py	0	1	executed	completed
test_tree.py	0	1	executed	completed
