== prefill: wall 1190.9 ms, 1231 dispatches, 53 submissions, 48 joins
   slot total 968.5 ms (81.3% of wall), reported t1-t0 total 941.7 ms, join wait 907.6 ms, submit host 43.2 ms
   kernel                           n   slot ms  share  mean us   rep ms
   QmmPrefillCoopmatF16           163    704.63  72.8%   4322.9   698.72
   MatmulRbF16                     46    111.26  11.5%   2418.8   109.57
   SoftmaxF16                      71     31.90   3.3%    449.3    30.35
   MatmulF16                       96     26.23   2.7%    273.2    24.27
   SwigluF16                       71     22.55   2.3%    317.6    20.94
   QmmVecQ4MultiSubgroupF16       192     19.41   2.0%    101.1    16.40
   CopyGeneralF16                 167     17.38   1.8%    104.1    13.72
   FastRmsNormF16                 145     10.03   1.0%     69.2     7.37
   BinaryVecF16                   117      9.65   1.0%     82.5     7.64
   FastRopeF16                    143      9.45   1.0%     66.1     7.20
   QmmVecQ4WordSubgroupF16          2      3.65   0.4%   1826.6     3.57
   LogSumExpF16                     2      0.57   0.1%    285.0     0.51
   TakeU32                          3      0.47   0.0%    155.6     0.26
   ElementwiseF16                   2      0.41   0.0%    207.4     0.36
   TakeF16                          6      0.39   0.0%     65.5     0.27
   DequantF16                       3      0.28   0.0%     93.3     0.23
   ArgReduceF16                     2      0.27   0.0%    136.4     0.27
   top signatures (kernel, count, gx, gy, gz):
   QmmPrefillCoopmatF16         count=5116928   g=(152,33,1) n=  46 slot=  395.41 ms mean=  8595.8 us
   QmmPrefillCoopmatF16         count=942592    g=(28,33,1) n=  69 slot=  287.43 ms mean=  4165.7 us
   MatmulRbF16                  count=15493856  g=(17,17,14) n=  23 slot=   57.73 ms mean=  2509.9 us
   MatmulRbF16                  count=942592    g=(1,17,14) n=  23 slot=   53.54 ms mean=  2327.7 us
   SoftmaxF16                   count=15493856  g=(14728,1,1) n=  23 slot=   29.92 ms mean=  1300.7 us
   QmmPrefillCoopmatF16         count=134656    g=(4,33,1) n=  48 slot=   21.79 ms mean=   454.0 us
   SwigluF16                    count=5116928   g=(4997,1,1) n=  23 slot=   21.05 ms mean=   915.3 us
   MatmulF16                    count=896       g=(4,1,14) n=  48 slot=   11.31 ms mean=   235.6 us
   QmmVecQ4MultiSubgroupF16     count=1216      g=(1216,1,1) n=  48 slot=    9.45 ms mean=   196.9 us
   CopyGeneralF16               count=942592    g=(3682,1,1) n=  23 slot=    8.93 ms mean=   388.2 us
   MatmulF16                    count=14742     g=(66,1,14) n=  24 slot=    8.70 ms mean=   362.6 us
   BinaryVecF16                 count=942592    g=(921,1,1) n=  69 slot=    7.53 ms mean=   109.1 us
   QmmVecQ4MultiSubgroupF16     count=112       g=(112,1,1) n=  96 slot=    7.26 ms mean=    75.6 us
   FastRmsNormF16               count=942592    g=(1052,1,1) n=  47 slot=    6.25 ms mean=   133.0 us
   MatmulF16                    count=14756     g=(66,1,14) n=  24 slot=    6.22 ms mean=   259.0 us
   CopyGeneralF16               count=134656    g=(526,1,1) n=  48 slot=    4.71 ms mean=    98.2 us
   FastRopeF16                  count=471296    g=(1841,1,1) n=  23 slot=    3.91 ms mean=   169.8 us
   FastRmsNormF16               count=896       g=(1,1,1) n=  98 slot=    3.78 ms mean=    38.6 us
   CopyGeneralF16               count=128       g=(1,1,1) n=  96 slot=    3.74 ms mean=    39.0 us
   QmmVecQ4WordSubgroupF16      count=151936    g=(18992,1,1) n=   2 slot=    3.65 ms mean=  1826.6 us
   QmmVecQ4MultiSubgroupF16     count=144       g=(144,1,1) n=  48 slot=    2.70 ms mean=    56.2 us
   FastRopeF16                  count=64        g=(1,1,1) n=  48 slot=    2.43 ms mean=    50.7 us
   BinaryVecF16                 count=134656    g=(132,1,1) n=  48 slot=    2.12 ms mean=    44.2 us
   FastRopeF16                  count=448       g=(2,1,1) n=  48 slot=    1.82 ms mean=    37.9 us
   SwigluF16                    count=4864      g=(5,1,1) n=  48 slot=    1.50 ms mean=    31.2 us
