         4096 function calls (4095 primitive calls) in 0.432 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      2/1    0.000    0.000    0.432    0.432 {built-in method builtins.next}
        1    0.000    0.000    0.432    0.432 generate.py:657(stream_generate)
        1    0.000    0.000    0.338    0.338 generate.py:705(<genexpr>)
        1    0.000    0.000    0.338    0.338 generate.py:307(generate_step)
        6    0.317    0.053    0.318    0.053 prefill_probe.py:85(timed)
        1    0.000    0.000    0.094    0.094 tokenizer_utils.py:450(detokenizer)
        1    0.009    0.009    0.094    0.094 tokenizer_utils.py:165(__init__)
      100    0.000    0.000    0.085    0.001 {built-in method builtins.getattr}
        4    0.000    0.000    0.085    0.021 tokenizer_utils.py:457(__getattr__)
        2    0.000    0.000    0.085    0.043 tokenization_utils_tokenizers.py:723(vocab)
        2    0.000    0.000    0.085    0.043 tokenization_utils_tokenizers.py:720(get_vocab)
        2    0.085    0.043    0.085    0.043 {method 'get_vocab' of 'tokenizers.Tokenizer' objects}
        3    0.000    0.000    0.020    0.007 generate.py:388(_model_call)
        3    0.000    0.000    0.020    0.007 qwen2.py:167(__call__)
        3    0.000    0.000    0.020    0.007 qwen2.py:137(__call__)
       72    0.001    0.000    0.019    0.000 qwen2.py:111(__call__)
        2    0.000    0.000    0.019    0.009 generate.py:396(_step)
       72    0.003    0.000    0.014    0.000 qwen2.py:57(__call__)
      144    0.004    0.000    0.004    0.000 positional_encoding.py:46(__call__)
       72    0.004    0.000    0.004    0.000 cache.py:333(update_and_fetch)
      504    0.003    0.000    0.004    0.000 quantized.py:270(__call__)
       72    0.001    0.000    0.004    0.000 qwen2.py:94(__call__)
      957    0.001    0.000    0.002    0.000 base.py:99(__getattr__)
     1472    0.001    0.000    0.001    0.000 {method 'get' of 'dict' objects}
       72    0.001    0.000    0.001    0.000 activations.py:9(swiglu)
      147    0.001    0.000    0.001    0.000 normalization.py:163(__call__)
       12    0.000    0.000    0.000    0.000 prefill_probe.py:36(read)
       72    0.000    0.000    0.000    0.000 base.py:108(scaled_dot_product_attention)
       72    0.000    0.000    0.000    0.000 activations.py:138(silu)
        3    0.000    0.000    0.000    0.000 quantized.py:149(__call__)
       24    0.000    0.000    0.000    0.000 cache.py:360(state)
       76    0.000    0.000    0.000    0.000 {built-in method builtins.hasattr}
        1    0.000    0.000    0.000    0.000 tokenizer_utils.py:206(add_token)
        3    0.000    0.000    0.000    0.000 base.py:45(create_attention_mask)
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
        1    0.000    0.000    0.000    0.000 tokenizer_utils.py:185(_decode_bytes)
        1    0.000    0.000    0.000    0.000 cache.py:15(make_prompt_cache)
        3    0.000    0.000    0.000    0.000 cache.py:393(make_mask)
       14    0.000    0.000    0.000    0.000 {built-in method time.monotonic_ns}
        2    0.000    0.000    0.000    0.000 sample_utils.py:47(<lambda>)
       12    0.000    0.000    0.000    0.000 {built-in method _ctypes.byref}
        3    0.000    0.000    0.000    0.000 quantized.py:160(as_linear)
        1    0.000    0.000    0.000    0.000 contextlib.py:136(__enter__)
        7    0.000    0.000    0.000    0.000 {method 'append' of 'list' objects}
        8    0.000    0.000    0.000    0.000 {built-in method builtins.len}
        1    0.000    0.000    0.000    0.000 contextlib.py:303(helper)
        1    0.000    0.000    0.000    0.000 generate.py:229(wired_limit)
        3    0.000    0.000    0.000    0.000 generate.py:299(maybe_quantize_kv_cache)
        1    0.000    0.000    0.000    0.000 {method 'endswith' of 'str' objects}
        1    0.000    0.000    0.000    0.000 tokenizer_utils.py:52(last_segment)
        1    0.000    0.000    0.000    0.000 {method 'decode' of 'bytearray' objects}
        1    0.000    0.000    0.000    0.000 contextlib.py:108(__init__)
        1    0.000    0.000    0.000    0.000 <string>:2(__init__)
        1    0.000    0.000    0.000    0.000 qwen2.py:219(layers)
        5    0.000    0.000    0.000    0.000 {method 'append' of 'bytearray' objects}
        4    0.000    0.000    0.000    0.000 {built-in method time.perf_counter}
       24    0.000    0.000    0.000    0.000 cache.py:328(__init__)
        3    0.000    0.000    0.000    0.000 cache.py:114(create_attention_mask)
        1    0.000    0.000    0.000    0.000 tokenizer_utils.py:179(reset)
        1    0.000    0.000    0.000    0.000 tokenizer_utils.py:195(_maybe_trim_space)
        3    0.000    0.000    0.000    0.000 {method 'startswith' of 'str' objects}
        3    0.000    0.000    0.000    0.000 generate.py:377(<lambda>)
        1    0.000    0.000    0.000    0.000 tokenizer_utils.py:228(make_byte_decoder)
        3    0.000    0.000    0.000    0.000 {built-in method builtins.isinstance}
        1    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 {built-in method builtins.min}


