== prefill: wall 498.3 ms, 1231 dispatches, 53 submissions, 48 joins
   slot total 321.5 ms (64.5% of wall), reported t1-t0 total 291.4 ms, join wait 255.4 ms, submit host 38.1 ms
   kernel                           n   slot ms  share  mean us   rep ms
   QmmPrefillCoopmatF16           163    213.04  66.3%   1307.0   207.91
   QmmVecQ4MultiSubgroupF16       192     22.04   6.9%    114.8    18.86
   MatmulRbF16                     46     16.61   5.2%    361.1    12.98
   CopyGeneralF16                 167     13.72   4.3%     82.2     7.97
   MatmulF16                       96     11.53   3.6%    120.1     9.83
   FastRopeF16                    143      9.22   2.9%     64.5     5.82
   SoftmaxF16                      71      8.78   2.7%    123.7     7.51
   FastRmsNormF16                 145      8.11   2.5%     55.9     5.18
   SwigluF16                       71      7.50   2.3%    105.7     6.19
   BinaryVecF16                   117      5.03   1.6%     43.0     3.79
   QmmVecQ4WordSubgroupF16          2      3.65   1.1%   1825.7     3.56
   LogSumExpF16                     2      0.58   0.2%    289.1     0.51
   ElementwiseF16                   2      0.42   0.1%    210.7     0.36
   TakeU32                          3      0.40   0.1%    133.5     0.18
   TakeF16                          6      0.38   0.1%     62.8     0.27
   ArgReduceF16                     2      0.28   0.1%    137.6     0.28
   DequantF16                       3      0.22   0.1%     74.1     0.16
   top signatures (kernel, count, gx, gy, gz):
   QmmPrefillCoopmatF16         count=1269504   g=(152,9,1) n=  46 slot=  118.63 ms mean=  2578.8 us
   QmmPrefillCoopmatF16         count=233856    g=(28,9,1) n=  69 slot=   83.11 ms mean=  1204.5 us
   QmmPrefillCoopmatF16         count=33408     g=(4,9,1) n=  48 slot=   11.31 ms mean=   235.6 us
   QmmVecQ4MultiSubgroupF16     count=1216      g=(1216,1,1) n=  48 slot=   10.83 ms mean=   225.7 us
   MatmulRbF16                  count=233856    g=(1,5,14) n=  23 slot=    9.47 ms mean=   411.6 us
   QmmVecQ4MultiSubgroupF16     count=112       g=(112,1,1) n=  96 slot=    8.19 ms mean=    85.3 us
   MatmulRbF16                  count=953694    g=(5,5,14) n=  23 slot=    7.14 ms mean=   310.5 us
   SoftmaxF16                   count=953694    g=(3654,1,1) n=  23 slot=    6.50 ms mean=   282.6 us
   CopyGeneralF16               count=128       g=(1,1,1) n=  96 slot=    6.18 ms mean=    64.4 us
   SwigluF16                    count=1269504   g=(1240,1,1) n=  23 slot=    5.98 ms mean=   259.8 us
   FastRmsNormF16               count=896       g=(1,1,1) n=  98 slot=    5.25 ms mean=    53.6 us
   MatmulF16                    count=896       g=(4,1,14) n=  48 slot=    5.21 ms mean=   108.6 us
   CopyGeneralF16               count=33408     g=(131,1,1) n=  48 slot=    4.33 ms mean=    90.2 us
   MatmulF16                    count=3668      g=(17,1,14) n=  24 slot=    3.75 ms mean=   156.1 us
   QmmVecQ4WordSubgroupF16      count=151936    g=(18992,1,1) n=   2 slot=    3.65 ms mean=  1825.7 us
   FastRopeF16                  count=448       g=(2,1,1) n=  48 slot=    3.34 ms mean=    69.6 us
   BinaryVecF16                 count=233856    g=(229,1,1) n=  69 slot=    3.32 ms mean=    48.2 us
   CopyGeneralF16               count=233856    g=(914,1,1) n=  23 slot=    3.21 ms mean=   139.8 us
   QmmVecQ4MultiSubgroupF16     count=144       g=(144,1,1) n=  48 slot=    3.02 ms mean=    62.9 us
   FastRmsNormF16               count=233856    g=(261,1,1) n=  47 slot=    2.85 ms mean=    60.7 us
   FastRopeF16                  count=64        g=(1,1,1) n=  48 slot=    2.75 ms mean=    57.4 us
   MatmulF16                    count=3682      g=(17,1,14) n=  24 slot=    2.57 ms mean=   107.2 us
   FastRopeF16                  count=116928    g=(457,1,1) n=  23 slot=    2.19 ms mean=    95.4 us
   BinaryVecF16                 count=33408     g=(33,1,1) n=  48 slot=    1.70 ms mean=    35.5 us
   SwigluF16                    count=4864      g=(5,1,1) n=  48 slot=    1.53 ms mean=    31.8 us
