== prefill: wall 285.9 ms, 1231 dispatches, 53 submissions, 48 joins
   slot total 156.4 ms (54.7% of wall), reported t1-t0 total 123.8 ms, join wait 101.1 ms, submit host 23.7 ms
   kernel                           n   slot ms  share  mean us   rep ms
   QmmPrefillCoopmatF16           163     77.39  49.5%    474.8    72.87
   QmmVecQ4MultiSubgroupF16       192     20.11  12.9%    104.8    16.55
   CopyGeneralF16                 167     13.17   8.4%     78.9     5.41
   MatmulF16                      142     11.82   7.6%     83.3     7.03
   FastRopeF16                    143      8.72   5.6%     61.0     4.73
   FastRmsNormF16                 145      7.26   4.6%     50.1     4.12
   SoftmaxF16                      71      5.64   3.6%     79.4     3.47
   QmmVecQ4WordSubgroupF16          2      3.64   2.3%   1820.1     3.56
   BinaryVecF16                   117      3.59   2.3%     30.7     2.52
   SwigluF16                       71      2.74   1.8%     38.6     1.88
   LogSumExpF16                     2      0.59   0.4%    295.7     0.53
   ElementwiseF16                   2      0.41   0.3%    207.0     0.36
   TakeF16                          6      0.40   0.3%     67.1     0.26
   TakeU32                          3      0.40   0.3%    132.1     0.12
   ArgReduceF16                     2      0.27   0.2%    136.4     0.27
   DequantF16                       3      0.19   0.1%     64.5     0.12
   top signatures (kernel, count, gx, gy, gz):
   QmmPrefillCoopmatF16         count=25984     g=(28,1,1) n=  69 slot=   40.73 ms mean=   590.3 us
   QmmPrefillCoopmatF16         count=141056    g=(152,1,1) n=  46 slot=   24.36 ms mean=   529.7 us
   QmmPrefillCoopmatF16         count=3712      g=(4,1,1) n=  48 slot=   12.30 ms mean=   256.2 us
   QmmVecQ4MultiSubgroupF16     count=1216      g=(1216,1,1) n=  48 slot=    9.12 ms mean=   189.9 us
   QmmVecQ4MultiSubgroupF16     count=112       g=(112,1,1) n=  96 slot=    8.37 ms mean=    87.2 us
   CopyGeneralF16               count=128       g=(1,1,1) n=  96 slot=    6.89 ms mean=    71.8 us
   FastRmsNormF16               count=896       g=(1,1,1) n=  98 slot=    5.48 ms mean=    55.9 us
   CopyGeneralF16               count=3712      g=(15,1,1) n=  48 slot=    4.23 ms mean=    88.0 us
   FastRopeF16                  count=448       g=(2,1,1) n=  48 slot=    3.65 ms mean=    76.0 us
   QmmVecQ4WordSubgroupF16      count=151936    g=(18992,1,1) n=   2 slot=    3.64 ms mean=  1820.1 us
   MatmulF16                    count=896       g=(4,1,14) n=  48 slot=    3.61 ms mean=    75.3 us
   MatmulF16                    count=11774     g=(2,2,14) n=  23 slot=    3.21 ms mean=   139.6 us
   QmmVecQ4MultiSubgroupF16     count=144       g=(144,1,1) n=  48 slot=    2.63 ms mean=    54.7 us
   FastRopeF16                  count=64        g=(1,1,1) n=  48 slot=    2.60 ms mean=    54.2 us
   BinaryVecF16                 count=25984     g=(26,1,1) n=  69 slot=    2.07 ms mean=    29.9 us
   CopyGeneralF16               count=25984     g=(102,1,1) n=  23 slot=    2.05 ms mean=    89.2 us
   SoftmaxF16                   count=434       g=(14,1,1) n=  24 slot=    1.92 ms mean=    80.1 us
   SoftmaxF16                   count=11774     g=(406,1,1) n=  23 slot=    1.90 ms mean=    82.5 us
   MatmulF16                    count=420       g=(2,1,14) n=  24 slot=    1.87 ms mean=    77.9 us
   SoftmaxF16                   count=420       g=(14,1,1) n=  24 slot=    1.82 ms mean=    75.8 us
   MatmulF16                    count=434       g=(2,1,14) n=  24 slot=    1.79 ms mean=    74.7 us
   FastRmsNormF16               count=25984     g=(29,1,1) n=  47 slot=    1.78 ms mean=    37.9 us
   FastRopeF16                  count=12992     g=(51,1,1) n=  23 slot=    1.77 ms mean=    76.9 us
   BinaryVecF16                 count=3712      g=(4,1,1) n=  48 slot=    1.53 ms mean=    31.8 us
   SwigluF16                    count=4864      g=(5,1,1) n=  48 slot=    1.51 ms mean=    31.4 us
