== prefill: wall 1174.6 ms, 1231 dispatches, 51 submissions, 48 joins
   slot total 968.5 ms (82.5% of wall), reported t1-t0 total 941.1 ms, join wait 894.8 ms, submit host 41.8 ms
   kernel                           n   slot ms  share  mean us   rep ms
   QmmPrefillCoopmatF16           163    703.74  72.7%   4317.4   697.49
   MatmulRbF16                     46    111.29  11.5%   2419.4   109.54
   SoftmaxF16                      71     32.51   3.4%    458.0    30.91
   MatmulF16                       96     26.02   2.7%    271.1    24.18
   SwigluF16                       71     22.41   2.3%    315.6    20.73
   QmmVecQ4MultiSubgroupF16       192     19.94   2.1%    103.8    16.82
   CopyGeneralF16                 167     17.42   1.8%    104.3    13.77
   FastRmsNormF16                 145      9.97   1.0%     68.7     7.33
   BinaryVecF16                   117      9.66   1.0%     82.6     7.47
   FastRopeF16                    143      9.51   1.0%     66.5     7.35
   QmmVecQ4WordSubgroupF16          2      3.67   0.4%   1833.9     3.59
   LogSumExpF16                     2      0.57   0.1%    285.3     0.52
   TakeU32                          3      0.46   0.0%    154.8     0.26
   ElementwiseF16                   2      0.42   0.0%    210.9     0.36
   TakeF16                          6      0.40   0.0%     66.3     0.28
   DequantF16                       3      0.28   0.0%     91.7     0.22
   ArgReduceF16                     2      0.27   0.0%    136.7     0.27
   top signatures (kernel, count, gx, gy, gz):
   QmmPrefillCoopmatF16         count=5116928   g=(152,33,1) n=  46 slot=  394.73 ms mean=  8581.2 us
   QmmPrefillCoopmatF16         count=942592    g=(28,33,1) n=  69 slot=  287.08 ms mean=  4160.5 us
   MatmulRbF16                  count=15493856  g=(17,17,14) n=  23 slot=   57.77 ms mean=  2511.8 us
   MatmulRbF16                  count=942592    g=(1,17,14) n=  23 slot=   53.52 ms mean=  2327.0 us
   SoftmaxF16                   count=15493856  g=(14728,1,1) n=  23 slot=   30.57 ms mean=  1329.3 us
   QmmPrefillCoopmatF16         count=134656    g=(4,33,1) n=  48 slot=   21.93 ms mean=   456.8 us
   SwigluF16                    count=5116928   g=(4997,1,1) n=  23 slot=   20.83 ms mean=   905.6 us
   MatmulF16                    count=896       g=(4,1,14) n=  48 slot=   11.22 ms mean=   233.7 us
   QmmVecQ4MultiSubgroupF16     count=1216      g=(1216,1,1) n=  48 slot=    9.81 ms mean=   204.4 us
   CopyGeneralF16               count=942592    g=(3682,1,1) n=  23 slot=    8.99 ms mean=   391.0 us
   MatmulF16                    count=14742     g=(66,1,14) n=  24 slot=    8.57 ms mean=   357.2 us
   BinaryVecF16                 count=942592    g=(921,1,1) n=  69 slot=    7.45 ms mean=   107.9 us
   QmmVecQ4MultiSubgroupF16     count=112       g=(112,1,1) n=  96 slot=    7.38 ms mean=    76.9 us
   FastRmsNormF16               count=942592    g=(1052,1,1) n=  47 slot=    6.35 ms mean=   135.2 us
   MatmulF16                    count=14756     g=(66,1,14) n=  24 slot=    6.23 ms mean=   259.6 us
   CopyGeneralF16               count=134656    g=(526,1,1) n=  48 slot=    4.71 ms mean=    98.1 us
   FastRopeF16                  count=471296    g=(1841,1,1) n=  23 slot=    4.02 ms mean=   174.9 us
   CopyGeneralF16               count=128       g=(1,1,1) n=  96 slot=    3.71 ms mean=    38.7 us
   QmmVecQ4WordSubgroupF16      count=151936    g=(18992,1,1) n=   2 slot=    3.67 ms mean=  1833.9 us
   FastRmsNormF16               count=896       g=(1,1,1) n=  98 slot=    3.61 ms mean=    36.9 us
   QmmVecQ4MultiSubgroupF16     count=144       g=(144,1,1) n=  48 slot=    2.75 ms mean=    57.3 us
   FastRopeF16                  count=64        g=(1,1,1) n=  48 slot=    2.40 ms mean=    50.0 us
   BinaryVecF16                 count=134656    g=(132,1,1) n=  48 slot=    2.21 ms mean=    46.1 us
   FastRopeF16                  count=448       g=(2,1,1) n=  48 slot=    1.73 ms mean=    36.1 us
   SwigluF16                    count=4864      g=(5,1,1) n=  48 slot=    1.58 ms mean=    32.9 us
