== prefill: wall 499.0 ms, 1231 dispatches, 51 submissions, 48 joins
   slot total 315.3 ms (63.2% of wall), reported t1-t0 total 289.5 ms, join wait 249.8 ms, submit host 37.6 ms
   kernel                           n   slot ms  share  mean us   rep ms
   QmmPrefillCoopmatF16           163    210.67  66.8%   1292.4   205.48
   QmmVecQ4MultiSubgroupF16       192     21.74   6.9%    113.2    18.51
   MatmulRbF16                     46     13.98   4.4%    304.0    13.08
   CopyGeneralF16                 167     13.75   4.4%     82.3     8.71
   MatmulF16                       96     10.96   3.5%    114.2     9.53
   FastRopeF16                    143      9.05   2.9%     63.3     6.18
   SoftmaxF16                      71      8.58   2.7%    120.9     7.38
   FastRmsNormF16                 145      8.11   2.6%     55.9     5.27
   SwigluF16                       71      7.53   2.4%    106.1     6.19
   BinaryVecF16                   117      5.11   1.6%     43.7     3.84
   QmmVecQ4WordSubgroupF16          2      3.65   1.2%   1824.6     3.57
   LogSumExpF16                     2      0.57   0.2%    282.7     0.51
   ElementwiseF16                   2      0.42   0.1%    208.6     0.36
   TakeF16                          6      0.37   0.1%     61.4     0.25
   TakeU32                          3      0.37   0.1%    122.5     0.17
   ArgReduceF16                     2      0.27   0.1%    135.9     0.27
   DequantF16                       3      0.22   0.1%     72.2     0.16
   top signatures (kernel, count, gx, gy, gz):
   QmmPrefillCoopmatF16         count=1269504   g=(152,9,1) n=  46 slot=  116.29 ms mean=  2528.0 us
   QmmPrefillCoopmatF16         count=233856    g=(28,9,1) n=  69 slot=   83.04 ms mean=  1203.5 us
   QmmPrefillCoopmatF16         count=33408     g=(4,9,1) n=  48 slot=   11.34 ms mean=   236.2 us
   QmmVecQ4MultiSubgroupF16     count=1216      g=(1216,1,1) n=  48 slot=   10.82 ms mean=   225.5 us
   QmmVecQ4MultiSubgroupF16     count=112       g=(112,1,1) n=  96 slot=    7.76 ms mean=    80.8 us
   MatmulRbF16                  count=953694    g=(5,5,14) n=  23 slot=    7.18 ms mean=   312.2 us
   MatmulRbF16                  count=233856    g=(1,5,14) n=  23 slot=    6.80 ms mean=   295.7 us
   SoftmaxF16                   count=953694    g=(3654,1,1) n=  23 slot=    6.46 ms mean=   280.9 us
   CopyGeneralF16               count=128       g=(1,1,1) n=  96 slot=    6.25 ms mean=    65.1 us
   SwigluF16                    count=1269504   g=(1240,1,1) n=  23 slot=    6.01 ms mean=   261.2 us
   FastRmsNormF16               count=896       g=(1,1,1) n=  98 slot=    5.30 ms mean=    54.1 us
   MatmulF16                    count=896       g=(4,1,14) n=  48 slot=    4.81 ms mean=   100.3 us
   CopyGeneralF16               count=33408     g=(131,1,1) n=  48 slot=    4.35 ms mean=    90.6 us
   QmmVecQ4WordSubgroupF16      count=151936    g=(18992,1,1) n=   2 slot=    3.65 ms mean=  1824.6 us
   MatmulF16                    count=3668      g=(17,1,14) n=  24 slot=    3.61 ms mean=   150.3 us
   FastRopeF16                  count=448       g=(2,1,1) n=  48 slot=    3.47 ms mean=    72.2 us
   BinaryVecF16                 count=233856    g=(229,1,1) n=  69 slot=    3.40 ms mean=    49.3 us
   QmmVecQ4MultiSubgroupF16     count=144       g=(144,1,1) n=  48 slot=    3.16 ms mean=    65.7 us
   CopyGeneralF16               count=233856    g=(914,1,1) n=  23 slot=    3.15 ms mean=   136.9 us
   FastRmsNormF16               count=233856    g=(261,1,1) n=  47 slot=    2.81 ms mean=    59.8 us
   MatmulF16                    count=3682      g=(17,1,14) n=  24 slot=    2.54 ms mean=   105.9 us
   FastRopeF16                  count=116928    g=(457,1,1) n=  23 slot=    2.32 ms mean=   100.9 us
   FastRopeF16                  count=64        g=(1,1,1) n=  48 slot=    2.30 ms mean=    48.0 us
   BinaryVecF16                 count=33408     g=(33,1,1) n=  48 slot=    1.71 ms mean=    35.7 us
   SwigluF16                    count=4864      g=(5,1,1) n=  48 slot=    1.52 ms mean=    31.8 us
