== prefill: wall 1171.0 ms, 1231 dispatches, 51 submissions, 48 joins
   slot total 970.2 ms (82.9% of wall), reported t1-t0 total 942.8 ms, join wait 897.5 ms, submit host 38.6 ms
   kernel                           n   slot ms  share  mean us   rep ms
   QmmPrefillCoopmatF16           163    703.55  72.5%   4316.3   697.42
   MatmulRbF16                     46    111.54  11.5%   2424.9   109.83
   SoftmaxF16                      71     32.06   3.3%    451.5    30.45
   MatmulF16                       96     27.10   2.8%    282.3    25.12
   SwigluF16                       71     22.50   2.3%    317.0    20.76
   QmmVecQ4MultiSubgroupF16       192     20.57   2.1%    107.1    17.48
   CopyGeneralF16                 167     17.20   1.8%    103.0    13.60
   FastRmsNormF16                 145     10.08   1.0%     69.5     7.42
   BinaryVecF16                   117      9.81   1.0%     83.8     7.57
   FastRopeF16                    143      9.71   1.0%     67.9     7.53
   QmmVecQ4WordSubgroupF16          2      3.67   0.4%   1836.5     3.59
   LogSumExpF16                     2      0.57   0.1%    282.9     0.51
   TakeF16                          6      0.42   0.0%     70.3     0.30
   ElementwiseF16                   2      0.42   0.0%    207.6     0.36
   TakeU32                          3      0.39   0.0%    128.9     0.27
   DequantF16                       3      0.35   0.0%    116.0     0.28
   ArgReduceF16                     2      0.27   0.0%    136.2     0.27
   top signatures (kernel, count, gx, gy, gz):
   QmmPrefillCoopmatF16         count=5116928   g=(152,33,1) n=  46 slot=  394.63 ms mean=  8578.8 us
   QmmPrefillCoopmatF16         count=942592    g=(28,33,1) n=  69 slot=  287.03 ms mean=  4159.9 us
   MatmulRbF16                  count=15493856  g=(17,17,14) n=  23 slot=   57.75 ms mean=  2510.7 us
   MatmulRbF16                  count=942592    g=(1,17,14) n=  23 slot=   53.80 ms mean=  2339.0 us
   SoftmaxF16                   count=15493856  g=(14728,1,1) n=  23 slot=   30.09 ms mean=  1308.3 us
   QmmPrefillCoopmatF16         count=134656    g=(4,33,1) n=  48 slot=   21.89 ms mean=   456.0 us
   SwigluF16                    count=5116928   g=(4997,1,1) n=  23 slot=   20.90 ms mean=   908.6 us
   MatmulF16                    count=896       g=(4,1,14) n=  48 slot=   11.71 ms mean=   244.0 us
   QmmVecQ4MultiSubgroupF16     count=1216      g=(1216,1,1) n=  48 slot=   10.06 ms mean=   209.6 us
   MatmulF16                    count=14742     g=(66,1,14) n=  24 slot=    9.14 ms mean=   380.8 us
   CopyGeneralF16               count=942592    g=(3682,1,1) n=  23 slot=    8.96 ms mean=   389.4 us
   QmmVecQ4MultiSubgroupF16     count=112       g=(112,1,1) n=  96 slot=    7.72 ms mean=    80.4 us
   BinaryVecF16                 count=942592    g=(921,1,1) n=  69 slot=    7.63 ms mean=   110.6 us
   FastRmsNormF16               count=942592    g=(1052,1,1) n=  47 slot=    6.32 ms mean=   134.5 us
   MatmulF16                    count=14756     g=(66,1,14) n=  24 slot=    6.25 ms mean=   260.4 us
   CopyGeneralF16               count=134656    g=(526,1,1) n=  48 slot=    4.60 ms mean=    95.8 us
   FastRopeF16                  count=471296    g=(1841,1,1) n=  23 slot=    4.07 ms mean=   176.9 us
   FastRmsNormF16               count=896       g=(1,1,1) n=  98 slot=    3.76 ms mean=    38.4 us
   QmmVecQ4WordSubgroupF16      count=151936    g=(18992,1,1) n=   2 slot=    3.67 ms mean=  1836.5 us
   CopyGeneralF16               count=128       g=(1,1,1) n=  96 slot=    3.65 ms mean=    38.0 us
   QmmVecQ4MultiSubgroupF16     count=144       g=(144,1,1) n=  48 slot=    2.79 ms mean=    58.0 us
   FastRopeF16                  count=64        g=(1,1,1) n=  48 slot=    2.45 ms mean=    51.0 us
   BinaryVecF16                 count=134656    g=(132,1,1) n=  48 slot=    2.17 ms mean=    45.3 us
   FastRopeF16                  count=448       g=(2,1,1) n=  48 slot=    1.84 ms mean=    38.4 us
   SwigluF16                    count=4864      g=(5,1,1) n=  48 slot=    1.60 ms mean=    33.4 us
