== prefill: wall 296.2 ms, 1231 dispatches, 51 submissions, 48 joins
   slot total 158.4 ms (53.5% of wall), reported t1-t0 total 130.6 ms, join wait 101.9 ms, submit host 24.8 ms
   kernel                           n   slot ms  share  mean us   rep ms
   QmmPrefillCoopmatF16           163     78.46  49.5%    481.4    74.01
   QmmVecQ4MultiSubgroupF16       192     22.65  14.3%    118.0    19.43
   CopyGeneralF16                 167     12.15   7.7%     72.8     5.75
   MatmulF16                      142     11.87   7.5%     83.6     8.01
   FastRopeF16                    143      8.54   5.4%     59.7     5.42
   FastRmsNormF16                 145      7.03   4.4%     48.4     4.56
   SoftmaxF16                      71      5.32   3.4%     74.9     3.69
   BinaryVecF16                   117      3.65   2.3%     31.2     2.57
   QmmVecQ4WordSubgroupF16          2      3.64   2.3%   1819.1     3.56
   SwigluF16                       71      2.78   1.8%     39.1     1.90
   LogSumExpF16                     2      0.57   0.4%    287.4     0.51
   ElementwiseF16                   2      0.42   0.3%    209.2     0.36
   TakeU32                          3      0.41   0.3%    136.6     0.14
   TakeF16                          6      0.39   0.2%     64.6     0.26
   ArgReduceF16                     2      0.27   0.2%    136.0     0.27
   DequantF16                       3      0.25   0.2%     82.3     0.18
   top signatures (kernel, count, gx, gy, gz):
   QmmPrefillCoopmatF16         count=25984     g=(28,1,1) n=  69 slot=   41.00 ms mean=   594.1 us
   QmmPrefillCoopmatF16         count=141056    g=(152,1,1) n=  46 slot=   24.82 ms mean=   539.6 us
   QmmPrefillCoopmatF16         count=3712      g=(4,1,1) n=  48 slot=   12.65 ms mean=   263.5 us
   QmmVecQ4MultiSubgroupF16     count=1216      g=(1216,1,1) n=  48 slot=   10.96 ms mean=   228.4 us
   QmmVecQ4MultiSubgroupF16     count=112       g=(112,1,1) n=  96 slot=    8.87 ms mean=    92.4 us
   CopyGeneralF16               count=128       g=(1,1,1) n=  96 slot=    6.12 ms mean=    63.7 us
   FastRmsNormF16               count=896       g=(1,1,1) n=  98 slot=    5.25 ms mean=    53.5 us
   CopyGeneralF16               count=3712      g=(15,1,1) n=  48 slot=    4.04 ms mean=    84.2 us
   QmmVecQ4WordSubgroupF16      count=151936    g=(18992,1,1) n=   2 slot=    3.64 ms mean=  1819.1 us
   MatmulF16                    count=896       g=(4,1,14) n=  48 slot=    3.50 ms mean=    72.9 us
   FastRopeF16                  count=448       g=(2,1,1) n=  48 slot=    3.46 ms mean=    72.1 us
   MatmulF16                    count=11774     g=(2,2,14) n=  23 slot=    3.20 ms mean=   139.0 us
   QmmVecQ4MultiSubgroupF16     count=144       g=(144,1,1) n=  48 slot=    2.81 ms mean=    58.6 us
   FastRopeF16                  count=64        g=(1,1,1) n=  48 slot=    2.52 ms mean=    52.6 us
   BinaryVecF16                 count=25984     g=(26,1,1) n=  69 slot=    2.09 ms mean=    30.3 us
   CopyGeneralF16               count=25984     g=(102,1,1) n=  23 slot=    1.99 ms mean=    86.7 us
   FastRopeF16                  count=12992     g=(51,1,1) n=  23 slot=    1.88 ms mean=    81.8 us
   MatmulF16                    count=434       g=(2,1,14) n=  24 slot=    1.84 ms mean=    76.7 us
   SoftmaxF16                   count=434       g=(14,1,1) n=  24 slot=    1.83 ms mean=    76.1 us
   MatmulF16                    count=420       g=(2,1,14) n=  24 slot=    1.80 ms mean=    75.2 us
   SoftmaxF16                   count=11774     g=(406,1,1) n=  23 slot=    1.80 ms mean=    78.2 us
   FastRmsNormF16               count=25984     g=(29,1,1) n=  47 slot=    1.78 ms mean=    37.9 us
   SoftmaxF16                   count=420       g=(14,1,1) n=  24 slot=    1.69 ms mean=    70.5 us
   BinaryVecF16                 count=3712      g=(4,1,1) n=  48 slot=    1.56 ms mean=    32.6 us
   MatmulF16                    count=25984     g=(4,2,14) n=  23 slot=    1.53 ms mean=    66.5 us
