file	rc	result
test_array.py	0	executed=208 passed=208 failed=0 skipped=19
test_autograd.py	0	executed=53 passed=53 failed=0 skipped=1
test_bf16.py	0	executed=77 passed=77 failed=0 skipped=2
test_blas.py	0	executed=1049 passed=1049 failed=0 skipped=0
test_compile.py	1	executed=67 passed=64 failed=3 skipped=0
test_constants.py	0	executed=3 passed=3 failed=0 skipped=0
test_conv.py	1	executed=26 passed=25 failed=1 skipped=10
test_conv_transpose.py	0	executed=0 passed=0 failed=0 skipped=10
test_device.py	0	executed=10 passed=10 failed=0 skipped=0
test_double.py	0	executed=11 passed=11 failed=0 skipped=0
test_einsum.py	0	executed=12 passed=12 failed=0 skipped=0
test_eval.py	0	executed=14 passed=14 failed=0 skipped=1
test_export_import.py	1	executed=34 passed=33 failed=1 skipped=0
test_fast.py	1	executed=25 passed=20 failed=5 skipped=6
