file,case,kind,detail
test_compile.py,test_compile_dynamic_dims,assert,
test_compile.py,test_compile_nonfinite_constants,other,RuntimeError: [omarchy] Compiled tape bfloat16 is refused: bf16 fragments corrupt nondeter
test_compile.py,test_compiled_subnormal_bool_cast,assert,
test_compile.py,test_inf_constant,other,RuntimeError: [omarchy] Compiled tape bfloat16 is refused: bf16 fragments corrupt nondeter
test_conv.py,test_numpy_conv,assert,
test_export_import.py,test_export_custom_metal_kernel_without_evaluation,assert,
test_export_import.py,test_export_import_custom_kernel,other,UnboundLocalError custom_kernel (upstream harness artifact)
test_fast.py,test_custom_kernel_args,other,UnboundLocalError custom_kernel (upstream harness artifact)
test_fast.py,test_custom_kernel_attributes,other,UnboundLocalError custom_kernel (upstream harness artifact)
test_fast.py,test_custom_kernel_basic,other,UnboundLocalError custom_kernel (upstream harness artifact)
test_fast.py,test_custom_kernel_helper,other,UnboundLocalError custom_kernel (upstream harness artifact)
test_fast.py,test_custom_kernel_strides,other,UnboundLocalError custom_kernel (upstream harness artifact)
test_fast_sdpa.py,test_sdpa,assert,
test_fast_sdpa.py,test_sdpa,assert,
test_fast_sdpa.py,test_sdpa,assert,
test_fast_sdpa.py,test_sdpa,assert,
test_nn.py,test_pooling,assert,
test_ops.py,test_sin,other,RuntimeError: [omarchy] Sin argument magnitude 1000000015047466219876688855040.000000 exce
test_ops.py,test_sort,assert,
test_ops.py,test_subnormal_bool_cast,assert,
test_optimizers.py,test_compiled_optimizer,assert,
test_quantized.py,test_fp_qmv,named,QuantizedMatmul weight layout
test_quantized.py,test_fp_qmv,named,QuantizedMatmul weight layout
test_quantized.py,test_fp_qmv,named,QuantizedMatmul weight layout
test_quantized.py,test_fp_qmv,named,QuantizedMatmul weight layout
test_quantized.py,test_fp_qmv,named,QuantizedMatmul weight layout
test_quantized.py,test_fp_qmv,named,QuantizedMatmul weight layout
test_quantized.py,test_fp_qmv,named,QuantizedMatmul weight layout
test_quantized.py,test_fp_qmv,named,QuantizedMatmul weight layout
test_quantized.py,test_fp_qmv,named,QuantizedMatmul weight layout
test_quantized.py,test_fp_qmv,named,QuantizedMatmul weight layout
test_quantized.py,test_fp_qmv,named,QuantizedMatmul weight layout
test_quantized.py,test_fp_qmv,named,QuantizedMatmul weight layout
test_quantized.py,test_fp_qmv,named,QuantizedMatmul weight layout
test_quantized.py,test_fp_qmv,named,QuantizedMatmul weight layout
test_quantized.py,test_fp_qmv,named,QuantizedMatmul weight layout
test_quantized.py,test_fp_qmv,named,QuantizedMatmul weight layout
test_quantized.py,test_fp_qmv,named,QuantizedMatmul weight layout
test_quantized.py,test_fp_qmv,named,QuantizedMatmul weight layout
test_quantized.py,test_fp_qmv,named,QuantizedMatmul weight layout
test_quantized.py,test_fp_qmv,named,QuantizedMatmul weight layout
test_quantized.py,test_fp_qmv,named,QuantizedMatmul weight layout
test_quantized.py,test_fp_qmv,named,QuantizedMatmul weight layout
test_quantized.py,test_fp_qmv,named,QuantizedMatmul weight layout
test_quantized.py,test_fp_qmv,named,QuantizedMatmul weight layout
test_quantized.py,test_fp_qmv,named,QuantizedMatmul weight layout
test_quantized.py,test_fp_qmv,named,QuantizedMatmul weight layout
test_quantized.py,test_fp_qmv,named,QuantizedMatmul weight layout
test_quantized.py,test_fp_qmv,named,QuantizedMatmul weight layout
test_quantized.py,test_fp_qmv,named,QuantizedMatmul weight layout
test_quantized.py,test_fp_qmv,named,QuantizedMatmul weight layout
test_quantized.py,test_fp_qmv,named,QuantizedMatmul weight layout
test_quantized.py,test_fp_qmv,named,QuantizedMatmul weight layout
test_quantized.py,test_fp_qmv,named,QuantizedMatmul weight layout
test_quantized.py,test_fp_qmv,named,QuantizedMatmul weight layout
test_quantized.py,test_fp_qmv,named,QuantizedMatmul weight layout
test_quantized.py,test_fp_qmv,named,QuantizedMatmul weight layout
test_quantized.py,test_fp_qmv,named,QuantizedMatmul weight layout
test_quantized.py,test_fp_qmv,named,QuantizedMatmul weight layout
test_quantized.py,test_fp_qmv,named,QuantizedMatmul weight layout
test_quantized.py,test_fp_qmv,named,QuantizedMatmul weight layout
test_quantized.py,test_fp_qmv,named,QuantizedMatmul weight layout
test_quantized.py,test_fp_qmv,named,QuantizedMatmul weight layout
test_quantized.py,test_fp_qmv,named,QuantizedMatmul weight layout
test_quantized.py,test_fp_qmv,named,QuantizedMatmul weight layout
test_quantized.py,test_fp_qmv,named,QuantizedMatmul weight layout
test_quantized.py,test_fp_qmv,named,QuantizedMatmul weight layout
test_quantized.py,test_fp_qmv,named,QuantizedMatmul weight layout
test_quantized.py,test_fp_qmv,named,QuantizedMatmul weight layout
test_quantized.py,test_fp_qmv,named,QuantizedMatmul weight layout
test_quantized.py,test_fp_qmv,named,QuantizedMatmul weight layout
test_quantized.py,test_fp_qmv,named,QuantizedMatmul weight layout
test_quantized.py,test_fp_qmv,named,QuantizedMatmul weight layout
test_quantized.py,test_fp_qmv,named,QuantizedMatmul weight layout
test_quantized.py,test_fp_qmv,named,QuantizedMatmul weight layout
test_quantized.py,test_fp_qmv,named,QuantizedMatmul weight layout
test_quantized.py,test_fp_qmv,named,QuantizedMatmul weight layout
test_quantized.py,test_fp_qmv,named,QuantizedMatmul weight layout
test_quantized.py,test_fp_qmv,named,QuantizedMatmul weight layout
test_quantized.py,test_fp_qmv,named,QuantizedMatmul weight layout
test_quantized.py,test_fp_qmv,named,QuantizedMatmul weight layout
test_quantized.py,test_fp_qmv,named,QuantizedMatmul weight layout
test_quantized.py,test_fp_qmv,named,QuantizedMatmul weight layout
test_quantized.py,test_fp_qmv,named,QuantizedMatmul weight layout
test_quantized.py,test_fp_qmv,named,QuantizedMatmul weight layout
test_quantized.py,test_fp_qmv,named,QuantizedMatmul weight layout
test_quantized.py,test_fp_qmv,named,QuantizedMatmul weight layout
test_quantized.py,test_fp_qmv,named,QuantizedMatmul weight layout
test_quantized.py,test_fp_qmv,named,QuantizedMatmul weight layout
test_quantized.py,test_fp_qmv,named,QuantizedMatmul weight layout
test_quantized.py,test_fp_qmv,named,QuantizedMatmul weight layout
test_quantized.py,test_fp_qmv,named,QuantizedMatmul weight layout
test_quantized.py,test_fp_qmv,named,QuantizedMatmul weight layout
test_quantized.py,test_fp_qmv,named,QuantizedMatmul weight layout
test_quantized.py,test_fp_qmv,named,QuantizedMatmul weight layout
test_quantized.py,test_fp_qmv,named,QuantizedMatmul weight layout
test_quantized.py,test_fp_qmv,named,QuantizedMatmul weight layout
test_quantized.py,test_fp_qmv,named,QuantizedMatmul weight layout
test_quantized.py,test_fp_qmv,named,QuantizedMatmul weight layout
test_quantized.py,test_fp_qmv,named,QuantizedMatmul weight layout
test_quantized.py,test_fp_qmv,named,QuantizedMatmul weight layout
test_quantized.py,test_fp_qmv,named,QuantizedMatmul weight layout
test_quantized.py,test_fp_qmv,named,QuantizedMatmul weight layout
test_quantized.py,test_fp_qmv,named,QuantizedMatmul weight layout
test_quantized.py,test_fp_qmv,named,QuantizedMatmul weight layout
test_quantized.py,test_fp_qmv,named,QuantizedMatmul weight layout
test_quantized.py,test_fp_qmv,named,QuantizedMatmul weight layout
test_quantized.py,test_fp_qmv,named,QuantizedMatmul weight layout
test_quantized.py,test_fp_qmv,named,QuantizedMatmul weight layout
test_quantized.py,test_fp_qmv,named,QuantizedMatmul weight layout
test_quantized.py,test_fp_qmv,named,QuantizedMatmul weight layout
test_quantized.py,test_fp_qmv_large_output,named,QuantizedMatmul weight layout
test_quantized.py,test_fp_qmv_large_output,named,QuantizedMatmul weight layout
test_quantized.py,test_fp_qmv_large_output,named,QuantizedMatmul weight layout
test_quantized.py,test_fp_qvm,named,QuantizedMatmul weight layout
test_quantized.py,test_fp_qvm,named,QuantizedMatmul weight layout
test_quantized.py,test_fp_qvm,named,QuantizedMatmul weight layout
test_quantized.py,test_fp_qvm,named,QuantizedMatmul weight layout
test_quantized.py,test_fp_qvm,named,QuantizedMatmul weight layout
test_quantized.py,test_fp_qvm,named,QuantizedMatmul weight layout
test_quantized.py,test_fp_qvm,named,QuantizedMatmul weight layout
test_quantized.py,test_fp_qvm,named,QuantizedMatmul weight layout
test_quantized.py,test_fp_qvm,named,QuantizedMatmul weight layout
test_quantized.py,test_fp_qvm,named,QuantizedMatmul weight layout
test_quantized.py,test_fp_qvm,named,QuantizedMatmul weight layout
test_quantized.py,test_fp_qvm,named,QuantizedMatmul weight layout
test_quantized.py,test_fp_qvm,named,QuantizedMatmul weight layout
test_quantized.py,test_fp_qvm,named,QuantizedMatmul weight layout
test_quantized.py,test_fp_qvm,named,QuantizedMatmul weight layout
test_quantized.py,test_fp_qvm,named,QuantizedMatmul weight layout
test_quantized.py,test_fp_qvm,named,QuantizedMatmul weight layout
test_quantized.py,test_fp_qvm,named,QuantizedMatmul weight layout
test_quantized.py,test_fp_qvm,named,QuantizedMatmul weight layout
test_quantized.py,test_fp_qvm,named,QuantizedMatmul weight layout
test_quantized.py,test_fp_qvm,named,QuantizedMatmul weight layout
test_quantized.py,test_fp_qvm,named,QuantizedMatmul weight layout
test_quantized.py,test_fp_qvm,named,QuantizedMatmul weight layout
test_quantized.py,test_fp_qvm,named,QuantizedMatmul weight layout
test_quantized.py,test_fp_qvm,named,QuantizedMatmul weight layout
test_quantized.py,test_fp_qvm,named,QuantizedMatmul weight layout
test_quantized.py,test_fp_qvm,named,QuantizedMatmul weight layout
test_quantized.py,test_fp_qvm,named,QuantizedMatmul weight layout
test_quantized.py,test_fp_qvm,named,QuantizedMatmul weight layout
test_quantized.py,test_fp_qvm,named,QuantizedMatmul weight layout
test_quantized.py,test_fp_qvm,named,QuantizedMatmul weight layout
test_quantized.py,test_fp_qvm,named,QuantizedMatmul weight layout
test_quantized.py,test_fp_qvm,named,QuantizedMatmul weight layout
test_quantized.py,test_fp_qvm,named,QuantizedMatmul weight layout
test_quantized.py,test_fp_qvm,named,QuantizedMatmul weight layout
test_quantized.py,test_fp_qvm,named,QuantizedMatmul weight layout
test_quantized.py,test_fp_qvm,named,QuantizedMatmul weight layout
test_quantized.py,test_fp_qvm,named,QuantizedMatmul weight layout
test_quantized.py,test_fp_qvm,named,QuantizedMatmul weight layout
test_quantized.py,test_fp_qvm,named,QuantizedMatmul weight layout
test_quantized.py,test_fp_qvm,named,QuantizedMatmul weight layout
test_quantized.py,test_fp_qvm,named,QuantizedMatmul weight layout
test_quantized.py,test_fp_qvm,named,QuantizedMatmul weight layout
test_quantized.py,test_fp_qvm,named,QuantizedMatmul weight layout
test_quantized.py,test_fp_qvm,named,QuantizedMatmul weight layout
test_quantized.py,test_fp_qvm,named,QuantizedMatmul weight layout
test_quantized.py,test_fp_qvm,named,QuantizedMatmul weight layout
