file,case,baseline_kind,current_kind,delta
test_array.py,test_array_at,"named","PASS",fixed
test_array.py,test_array_at_complex_add_gpu,"named","PASS",fixed
test_array.py,test_array_copy,"named","PASS",fixed
test_array.py,test_array_pickle,"named","PASS",fixed
test_array.py,test_construction_from_lists_of_mlx_arrays,"named","PASS",fixed
test_array.py,test_indexing,"assert","PASS",fixed
test_array.py,test_setitem,"assert","PASS",fixed
test_autograd.py,test_complex_abs_grad,"named","PASS",fixed
test_autograd.py,test_complex_prod_vjp,"named","PASS",fixed
test_autograd.py,test_complex_unary_vjps,"named","PASS",fixed
test_autograd.py,test_eval_in_grad,"assert","PASS",fixed
test_autograd.py,test_power_grad,"assert","PASS",fixed
test_autograd.py,test_second_order_permutation_ops,"assert","PASS",fixed
test_autograd.py,test_take_along_axis_complex_vjp,"named","PASS",fixed
test_blas.py,test_addmm,"named","PASS",fixed
test_blas.py,test_block_masked_matmul,"named","PASS",fixed
test_blas.py,test_complex_gemm,"named","PASS",fixed
test_blas.py,test_complex_gemv,"named","PASS",fixed
test_blas.py,test_matrix_vector_batched,"named","PASS",fixed
test_compile.py,test_compile_dynamic_dims,"named","assert",changed
test_compile.py,test_compiled_subnormal_bool_cast,"other","assert",changed
test_conv.py,test_conv2d_large_filter_small_channels,"assert","PASS",fixed
test_conv.py,test_numpy_conv,"PASS","assert",regression
test_einsum.py,test_opt_einsum_test_cases,"named","PASS",fixed
test_einsum.py,test_simple_einsum,"assert","PASS",fixed
test_export_import.py,test_export_custom_metal_kernel_without_evaluation,"PASS","assert",regression
test_fast.py,test_cross_entropy_grad,"named","PASS",fixed
test_fast_sdpa.py,test_sdpa,"assert,named","assert",changed
test_fast_sdpa.py,test_sdpa_attention_sinks,"assert,named","PASS",fixed
test_fast_sdpa.py,test_sdpa_broadcast_mask,"assert","PASS",fixed
test_fast_sdpa.py,test_sdpa_few_query,"assert","PASS",fixed
test_fast_sdpa.py,test_sdpa_full_head_dim_256,"other","PASS",fixed
test_fast_sdpa.py,test_sdpa_fully_masked,"other","PASS",fixed
test_fast_sdpa.py,test_sdpa_grad,"other","PASS",fixed
test_fast_sdpa.py,test_sdpa_head_dim_72,"assert,other","PASS",fixed
test_fast_sdpa.py,test_sdpa_head_dim_96,"assert","PASS",fixed
test_fast_sdpa.py,test_sdpa_long_masked_sequence,"other","PASS",fixed
test_fast_sdpa.py,test_sdpa_nan_bug,"other","PASS",fixed
test_fast_sdpa.py,test_sdpa_noncontiguous_inputs,"other","PASS",fixed
test_fast_sdpa.py,test_sdpa_promote_mask,"other","PASS",fixed
test_fast_sdpa.py,test_sdpa_sliced,"assert,other","PASS",fixed
test_fast_sdpa.py,test_sdpa_vector,"assert","PASS",fixed
test_fast_sdpa.py,test_sdpa_vector_kv_transposed_head_seq,"assert","PASS",fixed
test_fft.py,test_fft_big_powers_of_two,"assert","PASS",fixed
test_fft.py,test_fft_contiguity,"assert","PASS",fixed
test_fft.py,test_fft_vmap,"named","PASS",fixed
test_linalg.py,test_eig,"named","PASS",fixed
test_linalg.py,test_eigh,"named","PASS",fixed
test_nn.py,test_causal_mask,"named","PASS",fixed
test_nn.py,test_upsample,"named","PASS",fixed
test_nn.py,test_upsample_align_corners_one_dim,"named","PASS",fixed
test_ops.py,test_add,"named","PASS",fixed
test_ops.py,test_arange_corner_cases_cast,"named","PASS",fixed
test_ops.py,test_arange_inferred_dtype,"named","PASS",fixed
test_ops.py,test_complex_ops,"named","PASS",fixed
test_ops.py,test_hadamard_grad_vmap,"named","PASS",fixed
test_ops.py,test_irregular_binary_ops,"assert","PASS",fixed
test_ops.py,test_large_binary,"other","PASS",fixed
test_ops.py,test_linspace,"named","PASS",fixed
test_ops.py,test_linspace_endpoint,"named","PASS",fixed
test_ops.py,test_log,"named","PASS",fixed
test_ops.py,test_log10,"named","PASS",fixed
test_ops.py,test_log1p,"named","PASS",fixed
test_ops.py,test_log2,"named","PASS",fixed
test_ops.py,test_masked_scatter,"assert","PASS",fixed
test_ops.py,test_median_nan,"named","PASS",fixed
test_ops.py,test_meshgrid,"named","PASS",fixed
test_ops.py,test_pad,"named","PASS",fixed
test_ops.py,test_round,"named","PASS",fixed
test_ops.py,test_scans,"named","PASS",fixed
test_ops.py,test_searchsorted,"assert","PASS",fixed
test_ops.py,test_sign,"named","PASS",fixed
test_ops.py,test_sort_nan,"named","PASS",fixed
test_ops.py,test_subnormal_bool_cast,"PASS","assert",regression
test_ops.py,test_take_along_axis,"named","PASS",fixed
test_ops.py,test_tile,"named","PASS",fixed
test_ops.py,test_trace,"named","PASS",fixed
test_ops.py,test_trig_ops,"named","PASS",fixed
test_ops.py,test_view,"assert","PASS",fixed
test_optimizers.py,test_adafactor,"named","PASS",fixed
test_optimizers.py,test_compile_with_schedule,"named","PASS",fixed
test_optimizers.py,test_compiled_optimizer,"PASS","assert",regression
test_optimizers.py,test_decay_lr,"named","PASS",fixed
test_optimizers.py,test_linear_warmup_with_cosine_decay,"named","PASS",fixed
test_optimizers.py,test_optimizers,"named","PASS",fixed
test_quantized.py,test_gather_qqmm,"named","PASS",fixed
test_quantized.py,test_qmm_non_transposed,"PASS","named",regression
test_quantized.py,test_qqmm,"named","PASS",fixed
test_quantized.py,test_qqmv,"named","PASS",fixed
test_random.py,test_randint,"named","PASS",fixed
test_vmap.py,test_vmap_masked_scatter,"assert","PASS",fixed
test_vmap.py,test_vmap_matmul,"named","PASS",fixed
test_vmap.py,test_vmap_pad,"named","PASS",fixed
