file,junit_seconds,near_900s_ceiling
test_blas.py,34.3,
test_array.py,27.1,
test_quantized.py,24.0,
test_fast_sdpa.py,23.7,
test_fft.py,13.1,
test_eval.py,9.6,
test_ops.py,5.5,
test_reduce.py,4.6,
test_compile.py,2.3,
test_fast.py,2.3,
test_threads.py,1.9,
test_autograd.py,1.4,
test_load.py,1.0,
test_linalg.py,0.7,
test_conv.py,0.6,
test_einsum.py,0.6,
test_bf16.py,0.4,
test_vmap.py,0.4,
test_nn.py,0.3,
test_export_import.py,0.3,
test_random.py,0.3,
test_optimizers.py,0.3,
test_double.py,0.2,
test_upsample.py,0.2,
test_constants.py,0.1,
test_device.py,0.1,
test_losses.py,0.1,
test_init.py,0.1,
test_conv_transpose.py,0.1,
test_tree.py,0.1,
test_memory.py,0.1,
test_zero_copy.py,0.1,
test_graph.py,0.1,
