kind,primitive,signature,n_cases,examples
named,layout,"QuantizedMatmul weight layout",258,"test_quantized.py::test_fp_qmv;test_quantized.py::test_fp_qmv;test_quantized.py::test_fp_qmv"
named,dtype,"Quantize input dtype",83,"test_quantized.py::test_gather_qmm_matrix_path;test_quantized.py::test_qmm_non_transposed;test_quantized.py::test_qmm_non_transposed"
assert,max,"AssertionError: N not less than or equal to N",3,"test_fast_sdpa.py::test_sdpa;test_fast_sdpa.py::test_sdpa;test_fast_sdpa.py::test_sdpa"
assert,allclose,"AssertionError: array(False, dtype=bool) is not true",2,"test_compile.py::test_compile_dynamic_dims;test_optimizers.py::test_compiled_optimizer"
other,random.normal,"UnboundLocalError custom_kernel (upstream harness artifact)",2,"test_fast.py::test_custom_kernel_basic;test_fast.py::test_custom_kernel_helper"
assert,all,"AssertionError: False is not true",1,"test_compile.py::test_compiled_subnormal_bool_cast"
assert,convolve,"AssertionError: False is not true",1,"test_conv.py::test_numpy_conv"
assert,metal.is_available,"AssertionError: RuntimeError not raised",1,"test_export_import.py::test_export_custom_metal_kernel_without_evaluation"
assert,max,"AssertionError: nan not less than or equal to N",1,"test_fast_sdpa.py::test_sdpa"
assert,MaxPool1d,"AssertionError: False is not true",1,"test_nn.py::test_pooling"
assert,sort,"AssertionError: False is not true",1,"test_ops.py::test_sort"
assert,bool_,"AssertionError: False is not true",1,"test_ops.py::test_subnormal_bool_cast"
assert,gather_mm,"AssertionError: array(N, dtype=floatN) not less than N",1,"test_quantized.py::test_gather_qmm_sorted"
named,rank,"QuantizedMatmul rank",1,"test_quantized.py::test_qvm_splitk"
other,eval,"RuntimeError: [omarchy] Compiled tape bfloatN is refused: bfN fragments corrupt nondeter",1,"test_compile.py::test_compile_nonfinite_constants"
other,compile,"RuntimeError: [omarchy] Compiled tape bfloatN is refused: bfN fragments corrupt nondeter",1,"test_compile.py::test_inf_constant"
other,fast.cuda_kernel,"UnboundLocalError custom_kernel (upstream harness artifact)",1,"test_export_import.py::test_export_import_custom_kernel"
other,bfloat16,"UnboundLocalError custom_kernel (upstream harness artifact)",1,"test_fast.py::test_custom_kernel_args"
other,zeros,"UnboundLocalError custom_kernel (upstream harness artifact)",1,"test_fast.py::test_custom_kernel_attributes"
other,tile,"UnboundLocalError custom_kernel (upstream harness artifact)",1,"test_fast.py::test_custom_kernel_strides"
other,array,"RuntimeError: [omarchy] Sin argument magnitude N exce",1,"test_ops.py::test_sin"
