[battery] device evidence: Wed Sep  2 10:17:57 CDT 2026
	apiVersion         = 1.4.354
	deviceName         = Apple M1 (G13G B1)
	driverName         = Honeykrisp
	apiVersion         = 1.4.354
	deviceName         = llvmpipe (LLVM 22.1.8, 128 bits)
	driverName         = llvmpipe
pass1 omarchy_runtime_tests rc=0 secs=18
pass1 omarchy_copy_offset_tests rc=0 secs=0
pass1 omarchy_primitive_tests rc=1 secs=1
pass1 omarchy_ane_bundle_tests rc=0 secs=0
pass1 omarchy_kv_ops_tests rc=0 secs=0
pass1 omarchy_error_contract_tests rc=0 secs=0
pass1 omarchy_shape_ops_tests rc=0 secs=0
pass1 omarchy_reduce_ops_tests rc=0 secs=0
pass1 omarchy_indexing_ops_tests rc=1 secs=0
pass1 omarchy_matmul_family_tests rc=0 secs=0
pass1 omarchy_distributed_tests rc=0 secs=0
pass1 omarchy_compiled_tape_tests rc=0 secs=1
pass1 omarchy_fft_ops_tests rc=0 secs=2
pass1 omarchy_fast_ops_tests rc=0 secs=0
pass1 omarchy_linalg_ops_tests rc=0 secs=0
pass2 omarchy_runtime_tests rc=0 secs=18
pass2 omarchy_copy_offset_tests rc=0 secs=0
pass2 omarchy_primitive_tests rc=1 secs=1
pass2 omarchy_ane_bundle_tests rc=0 secs=0
pass2 omarchy_kv_ops_tests rc=0 secs=0
pass2 omarchy_error_contract_tests rc=0 secs=0
pass2 omarchy_shape_ops_tests rc=0 secs=0
pass2 omarchy_reduce_ops_tests rc=0 secs=0
pass2 omarchy_indexing_ops_tests rc=1 secs=1
pass2 omarchy_matmul_family_tests rc=0 secs=0
pass2 omarchy_distributed_tests rc=0 secs=0
pass2 omarchy_compiled_tape_tests rc=0 secs=0
pass2 omarchy_fft_ops_tests rc=0 secs=2
pass2 omarchy_fast_ops_tests rc=0 secs=0
pass2 omarchy_linalg_ops_tests rc=0 secs=0
[battery] done Wed Sep  2 10:18:41 CDT 2026
QUAL_BATTERY_OK
