file	rc	result
allocator_tests	0	executed=4 passed=4 failed=0 cases=
array_tests	1	executed=9 passed=4 failed=5 cases=test array basics,test array types,test array metadata,test array iteration,test make array from user buffer
arg_reduce_tests	1	executed=5 passed=3 failed=2 cases=test arg reduce small,test arg reduce irregular strides
autograd_tests	1	executed=25 passed=3 failed=22 cases=test stop gradient,test jvp,test vjp,test creation grads,test op vjps,test gather and take grads,test slice grads,test slice update jvp with one tangent,test min and max vjp,test reshape and transpose grads,test copy grads,test matmul vjp,test concatenate grads,test split grads,test comparison grads,test as_strided grads,test jvp from vjp,test complex gradients,test scan grads,test update state,test grad dynamic slices,test masked_scatter autograd
blas_tests	1	executed=1 passed=0 failed=1 cases=test matmul
compile_tests	1	executed=31 passed=13 failed=18 cases=test simple compile,test compile with grad,test compile inputs with primitive,test nested compile,test compile with non-finite constants,test simplify multi output,test compile unary fused,test compile binary fused,test compile gelu,test compile tape with outside parents,test compile internal output,test compile deep graph,test compile repeat input,test fusion kernel reuse,test fusion types,test shapeless compile,test compile lambda,test compile random bits
custom_vjp_tests	0	executed=2 passed=2 failed=0 cases=
creations_tests	1	executed=3 passed=1 failed=2 cases=test arange,test full
device_tests	0	executed=2 passed=2 failed=0 cases=
einsum_tests	1	executed=2 passed=1 failed=1 cases=test einsum
export_import_tests	1	executed=8 passed=0 failed=8 cases=test export basic functions,test export function with no inputs,test export multi output primitives,test export primitives with state,test export functions with kwargs,test export function with variable inputs,test export function on different stream,test export import with metadata
eval_tests	1	executed=4 passed=1 failed=3 cases=test eval,test eval multiple,test eval graph retention when not tracing
fft_tests	1	executed=7 passed=1 failed=6 cases=test fft basics,test real ffts,test fftn,test fft vmap,test fft grads,test fftshift and ifftshift
load_tests	1	executed=7 passed=1 failed=6 cases=test save_safetensors,test safetensors file boundary validation,test gguf,test gguf tensor data offset validation,test gguf metadata,test single array serialization
linalg_tests	1	executed=15 passed=0 failed=15 cases=[mlx.core.linalg.norm] no ord,[mlx.core.linalg.norm] double ord,[mlx.core.linalg.norm] string ord,test QR factorization,test SVD factorization,test matrix inversion,test matrix cholesky,test matrix pseudo-inverse,test cross product,test matrix eigh,test lu,test solve,test solve_triangluar,test det,test slogdet
ops_tests	1	executed=88 passed=16 failed=72 cases=test copy,test slice,test slice update,test slice update add,test dynamic slice,test dynamic slice update,test split,test flip,test unstack,test transpose,test comparison ops,test is nan,test is inf,test all close,test is close,test reduction ops,test irregular binary ops,test arithmetic unary ops,test error functions,test arithmetic binary ops,test broadcast,test gather,test take,test gather contiguity,test take along axis,test put along axis,test scatter,test masked_scatter,test is positive infinity,test is negative infinity,test scatter types,test complex ops,test as_strided op,test scan op,test pad,test power,test where,test full_like,test eye,test tri,test tril,test triu,test identity,test eye with positive k offset,test eye with negative k offset,test basic clipping,test clipping with only min,test clipping with only max,test linspace,test quantize dequantize,test repeat,tile,tensordot,outer,inner,test divmod,test diagonal,test diag,test topk,test meshgrid,test conv1d,test conv2d,test trace,test view,test roll,test bitwise shift operations,test conv_transpose1d with output_padding,test conv_transpose2d with output_padding,test conv_transpose3d with output_padding,test fp8 conversion,test max min with nan,roll and tile shape overflow
random_tests	1	executed=12 passed=1 failed=11 cases=test random key,test random split,test random bits,test random uniform,test random normal,test random multivariate_normal,test random randint,test random bernoulli,Test truncated normal,test categorical,test laplace
scheduler_tests	134	CRASH rc=134; partial: executed=3 passed=1 failed=2 cases=test stream management,test access stream in other thread
utils_tests	0	executed=4 passed=4 failed=0 cases=
vmap_tests	1	executed=12 passed=2 failed=10 cases=test simple vmap,test vmap with eval,test vmap comparison ops,test vmap creation ops,test vmap slice,test vmap concatenate,test vmap scatter,test vmap SVD,test vmap dynamic slices,test vmap floor_divide integer
