file	rc	result
test_array.py	1	EXIT rc=1; executed=200 passed=164 failed=36 skipped=18 crash-excluded=6:.work/mlx/python/tests/test_array.py::TestArray::test_array_np_dtype_conversion;.work/mlx/python/tests/test_array.py::TestArray::test_buffer_protocol;.work/mlx/python/tests/test_array.py::TestArray::test_getitem_with_list;.work/mlx/python/tests/test_array.py::TestArray::test_indexing;.work/mlx/python/tests/test_array.py::TestArray::test_setitem_with_list;.work/mlx/python/tests/test_array.py::TestArray::test_slice_negative_step
test_autograd.py	1	EXIT rc=1; executed=53 passed=14 failed=39 skipped=1
test_bf16.py	1	EXIT rc=1; executed=35 passed=34 failed=1 skipped=2 crash-excluded=2:.work/mlx/python/tests/test_bf16.py::TestBF16::test_reduction_ops;.work/mlx/python/tests/test_bf16.py::TestBF16::test_unary_ops
test_blas.py	1	EXIT rc=1; executed=970 passed=955 failed=15 skipped=0 crash-excluded=8:.work/mlx/python/tests/test_blas.py::TestBlas::test_addmm;.work/mlx/python/tests/test_blas.py::TestBlas::test_block_masked_matmul;.work/mlx/python/tests/test_blas.py::TestBlas::test_complex_gemm;.work/mlx/python/tests/test_blas.py::TestBlas::test_complex_gemv;.work/mlx/python/tests/test_blas.py::TestBlas::test_gather_matmul;.work/mlx/python/tests/test_blas.py::TestBlas::test_gather_mm_blocks;.work/mlx/python/tests/test_blas.py::TestBlas::test_matrix_vector_attn;.work/mlx/python/tests/test_blas.py::TestBlas::test_matrix_vector_batched
test_compile.py	3	EXIT rc=3; executed=23 passed=5 failed=18 skipped=0 crash-excluded=1:.work/mlx/python/tests/test_compile.py::TestCompile::test_compile_different_log_bases
test_constants.py	1	EXIT rc=1; executed=3 passed=2 failed=1 skipped=0
test_conv.py	3	EXIT rc=3; executed=10 passed=1 failed=9 skipped=3 crash-excluded=1:.work/mlx/python/tests/test_conv.py::TestConv::test_numpy_conv
test_conv_transpose.py	0	executed=0 passed=0 failed=0 skipped=10
test_device.py	1	EXIT rc=1; executed=10 passed=4 failed=6 skipped=0
test_double.py	1	EXIT rc=1; executed=11 passed=1 failed=10 skipped=0
