file,case,kind,detail
test_array.py,test_add_numpy,named,Add dtype
test_array.py,test_api,named,Equal dtype
test_array.py,test_array_at,named,Add dtype
test_array.py,test_array_at_complex_add_gpu,named,non-zero scalar fill
test_array.py,test_array_at_slice_update_extensive,named,SliceUpdate reduce
test_array.py,test_array_comparison,named,GreaterEqual dtype
test_array.py,test_array_copy,named,Abs dtype
test_array.py,test_array_from_noncontiguous_np,named,Equal dtype
test_array.py,test_array_np_dtype_conversion,named,dtype converting copy
test_array.py,test_array_pickle,named,Abs dtype
test_array.py,test_buffer_protocol,named,dtype converting copy
test_array.py,test_construction_from_lists,named,Equal dtype
test_array.py,test_construction_from_lists_of_mlx_arrays,named,dtype converting copy
test_array.py,test_construction_from_lists_wide_ints,named,Take dtype
test_array.py,test_dlpack_cpu_dtype_mapping,named,non-zero scalar fill
test_array.py,test_dlpack_cpu_dtype_mapping,named,non-zero scalar fill
test_array.py,test_dlpack_cpu_dtype_mapping,named,non-zero scalar fill
test_array.py,test_dlpack_cpu_dtype_mapping,named,non-zero scalar fill
test_array.py,test_dlpack_cpu_dtype_mapping,named,non-zero scalar fill
test_array.py,test_dlpack_cpu_dtype_mapping,named,non-zero scalar fill
test_array.py,test_dlpack_cpu_dtype_mapping,named,non-zero scalar fill
test_array.py,test_dlpack_cpu_dtype_mapping,named,non-zero scalar fill
test_array.py,test_dlpack_cpu_dtype_mapping,named,non-zero scalar fill
test_array.py,test_dlpack_cpu_dtype_mapping,named,non-zero scalar fill
test_array.py,test_format,named,matrix layout Take
test_array.py,test_getitem_with_list,assert,
test_array.py,test_indexing,named,non-axis-0 Take
test_array.py,test_indexing_grad,named,Scatter Sum dtype
test_array.py,test_init_from_array,named,dtype converting copy
test_array.py,test_inplace,named,Add dtype
test_array.py,test_logical_overloads,named,BitwiseAnd dtype
test_array.py,test_real_imag,named,Imag
test_array.py,test_setitem,named,non-zero scalar fill
test_array.py,test_setitem_with_boolean_mask,named,MaskedScatter mask layout
test_array.py,test_setitem_with_list,assert,
test_array.py,test_slice_negative_step,assert,
test_array.py,test_slice_update_contiguous_2d,named,SliceUpdate reduce
test_autograd.py,test_autograd_types,assert,
test_autograd.py,test_complex_abs_grad,named,Abs dtype
test_autograd.py,test_complex_exp_vjp,named,Exp dtype
test_autograd.py,test_complex_log_vjp,named,Abs dtype
