file,case,kind,detail
test_array.py,test_api,named,Scan LogAddExp
test_array.py,test_array_at,named,multi-index Scatter float32 Sum/Prod with 3 index arrays
test_array.py,test_array_at_complex_add_gpu,named,Scatter dtype
test_array.py,test_array_copy,named,Abs dtype
test_array.py,test_array_np_dtype_conversion,named,dtype converting copy
test_array.py,test_array_pickle,named,Abs dtype
test_array.py,test_buffer_protocol,named,Add dtype
test_array.py,test_construction_from_lists_of_mlx_arrays,named,Abs dtype
test_array.py,test_construction_from_lists_wide_ints,named,Take dtype
test_array.py,test_dlpack_cpu_dtype_mapping,named,non-zero scalar fill
test_array.py,test_dlpack_cpu_dtype_mapping,named,non-zero scalar fill
test_array.py,test_dlpack_cpu_dtype_mapping,named,non-zero scalar fill
test_array.py,test_dlpack_cpu_dtype_mapping,named,non-zero scalar fill
test_array.py,test_indexing,assert,
test_array.py,test_init_from_array,named,dtype converting copy
test_array.py,test_inplace,named,BitwiseAnd dtype
test_array.py,test_logical_overloads,named,BitwiseAnd dtype
test_array.py,test_multi_output_leak,assert,
test_array.py,test_setitem,assert,
test_array.py,test_slice_update_contiguous_2d,assert,
test_autograd.py,test_complex_abs_grad,named,Abs dtype
test_autograd.py,test_complex_exp_vjp,named,Exp dtype
test_autograd.py,test_complex_log_vjp,named,Abs dtype
test_autograd.py,test_complex_prod_vjp,named,Take dtype
test_autograd.py,test_complex_unary_vjps,named,Abs dtype
test_autograd.py,test_complex_vjps,named,Abs dtype
test_autograd.py,test_eval_in_grad,assert,
test_autograd.py,test_jvp_through_bitwise_ops,named,BitwiseOr dtype
test_autograd.py,test_jvp_with_partly_traced_inputs,named,dtype converting copy
test_autograd.py,test_power_grad,named,dtype converting copy
test_autograd.py,test_reduce_jvp,named,ArgMin dtype
test_autograd.py,test_second_order_permutation_ops,assert,
test_autograd.py,test_split_against_slice,assert,
test_autograd.py,test_take_along_axis_complex_vjp,named,ScatterAxis dtype
test_blas.py,test_addmm,named,broadcast AddMM
test_blas.py,test_addmm_grad,assert,
test_blas.py,test_block_masked_matmul,named,strided reshape
test_blas.py,test_block_masked_matmul,named,strided reshape
test_blas.py,test_block_masked_matmul,named,strided reshape
test_blas.py,test_block_masked_matmul,named,strided reshape
test_blas.py,test_block_masked_matmul,named,strided reshape
test_blas.py,test_block_masked_matmul,named,strided reshape
test_blas.py,test_block_masked_matmul,named,strided reshape
test_blas.py,test_block_masked_matmul,named,strided reshape
test_blas.py,test_complex_gemm,named,Matmul dtype
test_blas.py,test_complex_gemv,named,Matmul dtype
test_blas.py,test_gather_matmul_grad,assert,
test_blas.py,test_gather_mm_sorted,assert,
test_blas.py,test_gather_mm_sorted,assert,
test_blas.py,test_gather_mm_sorted_vjp,assert,
test_blas.py,test_matrix_vector_batched,named,matrix rank Matmul
test_blas.py,test_matrix_vector_batched,named,matrix rank Matmul
test_blas.py,test_segmented_mm,named,dtype converting copy
test_compile.py,test_compile_abs_unsigned,named,Abs dtype
test_compile.py,test_compile_dynamic_dims,named,broadcast rank Add
test_compile.py,test_compile_many_inputs,assert,
test_compile.py,test_compile_nonfinite_constants,other,RuntimeError: [omarchy] Compiled tape bfloat16 is refused: bf16 fragments corrupt nondeter
test_compile.py,test_compiled_subnormal_bool_cast,named,dtype converting copy
test_compile.py,test_dtypes,named,Multiply dtype
test_compile.py,test_inf_constant,other,RuntimeError: [omarchy] Compiled tape bfloat16 is refused: bf16 fragments corrupt nondeter
test_compile.py,test_shapeless_compile_reduce_after_gather,named,dtype converting copy
test_conv.py,test_conv2d_large_filter_small_channels,assert,
test_conv.py,test_conv2d_unaligned_channels,assert,
test_conv.py,test_conv_1d_with_2d,assert,
test_conv.py,test_conv_3D_small_kd_decomposition,assert,
test_conv.py,test_repeated_conv,assert,
test_einsum.py,test_opt_einsum_test_cases,named,broadcast rank Multiply
test_einsum.py,test_simple_einsum,assert,
test_eval.py,test_donation_for_noops,assert,
test_eval.py,test_eval_slow_fast_multi_stream,assert,
test_export_import.py,test_export_conv,assert,
test_export_import.py,test_export_conv_shapeless,assert,
test_export_import.py,test_export_import_custom_kernel,other,UnboundLocalError custom_kernel (upstream harness artifact)
test_export_import.py,test_export_matmul_shapeless_batch_and_mid_dim,assert,
test_export_import.py,test_export_matmul_shapeless_batch_and_mid_dim,assert,
test_export_import.py,test_export_matmul_shapeless_mid_dim,assert,
test_export_import.py,test_export_matmul_shapeless_mid_dim,assert,
test_export_import.py,test_export_matmul_shapeless_mid_dim,assert,
test_fast.py,test_cross_entropy_grad,named,non-contiguous CrossEntropyVJP
test_fast.py,test_custom_kernel_args,other,UnboundLocalError custom_kernel (upstream harness artifact)
test_fast.py,test_custom_kernel_attributes,other,UnboundLocalError custom_kernel (upstream harness artifact)
test_fast.py,test_custom_kernel_basic,other,UnboundLocalError custom_kernel (upstream harness artifact)
test_fast.py,test_custom_kernel_helper,other,UnboundLocalError custom_kernel (upstream harness artifact)
test_fast.py,test_custom_kernel_strides,other,UnboundLocalError custom_kernel (upstream harness artifact)
test_fft.py,test_fft_big_powers_of_two,assert,
test_fft.py,test_fft_contiguity,named,Abs dtype
test_fft.py,test_fft_vmap,named,Take dtype
test_linalg.py,test_complex_norm,named,Abs dtype
test_linalg.py,test_complex_norm,named,Abs dtype
test_linalg.py,test_complex_norm,named,Abs dtype
test_linalg.py,test_complex_norm,named,Abs dtype
test_linalg.py,test_complex_norm,named,Abs dtype
test_linalg.py,test_complex_norm,named,Abs dtype
test_linalg.py,test_complex_norm,named,Abs dtype
test_linalg.py,test_complex_norm,named,Abs dtype
test_linalg.py,test_complex_norm,named,Abs dtype
test_linalg.py,test_complex_norm,named,Abs dtype
test_linalg.py,test_complex_norm,named,Abs dtype
test_linalg.py,test_complex_norm,named,Abs dtype
test_linalg.py,test_eig,named,Matmul dtype
test_linalg.py,test_eigh,named,Matmul dtype
test_load.py,test_save_and_load,named,Equal dtype
test_load.py,test_save_and_load,named,Equal dtype
test_load.py,test_save_and_load,named,Equal dtype
test_load.py,test_save_and_load,named,Equal dtype
test_load.py,test_save_and_load,named,Equal dtype
test_load.py,test_save_and_load,named,Equal dtype
test_load.py,test_save_and_load,named,Equal dtype
test_load.py,test_save_and_load,named,Equal dtype
test_load.py,test_save_and_load,named,Equal dtype
test_load.py,test_save_and_load,named,Equal dtype
test_load.py,test_save_and_load,named,Equal dtype
test_load.py,test_save_and_load,named,Equal dtype
test_load.py,test_save_and_load,named,Equal dtype
test_load.py,test_save_and_load,named,Equal dtype
test_load.py,test_save_and_load,named,Equal dtype
test_load.py,test_save_and_load,named,Equal dtype
test_load.py,test_save_and_load,named,Equal dtype
test_load.py,test_save_and_load,named,Equal dtype
test_load.py,test_save_and_load,named,Equal dtype
test_load.py,test_save_and_load,named,Equal dtype
test_load.py,test_save_and_load_fs,named,Equal dtype
test_load.py,test_save_and_load_fs,named,Equal dtype
test_load.py,test_save_and_load_fs,named,Equal dtype
test_load.py,test_save_and_load_fs,named,Equal dtype
test_load.py,test_save_and_load_fs,named,Equal dtype
test_load.py,test_save_and_load_fs,named,Equal dtype
test_load.py,test_save_and_load_fs,named,Equal dtype
test_load.py,test_save_and_load_fs,named,Equal dtype
test_load.py,test_save_and_load_fs,named,Equal dtype
test_load.py,test_save_and_load_fs,named,Equal dtype
test_load.py,test_save_and_load_fs,named,Equal dtype
test_load.py,test_save_and_load_fs,named,Equal dtype
test_load.py,test_save_and_load_fs,named,Equal dtype
test_load.py,test_save_and_load_fs,named,Equal dtype
test_load.py,test_save_and_load_fs,named,Equal dtype
test_load.py,test_save_and_load_fs,named,Equal dtype
test_load.py,test_save_and_load_fs,named,Equal dtype
test_load.py,test_save_and_load_fs,named,Equal dtype
test_load.py,test_save_and_load_fs,named,Equal dtype
test_load.py,test_save_and_load_fs,named,Equal dtype
test_load.py,test_save_and_load_gguf,named,Equal dtype
test_load.py,test_save_and_load_gguf,named,Equal dtype
test_load.py,test_save_and_load_gguf,named,Equal dtype
test_load.py,test_save_and_load_gguf,named,Equal dtype
test_load.py,test_save_and_load_gguf,named,non-zero scalar fill
test_load.py,test_save_and_load_gguf,named,non-zero scalar fill
test_load.py,test_save_and_load_gguf,named,non-zero scalar fill
test_load.py,test_save_and_load_gguf,named,non-zero scalar fill
test_load.py,test_save_and_load_gguf_metadata_arrays,named,dtype converting copy
test_load.py,test_save_and_load_safetensors,named,Equal dtype
test_load.py,test_save_and_load_safetensors,named,Equal dtype
test_load.py,test_save_and_load_safetensors,named,Equal dtype
test_load.py,test_save_and_load_safetensors,named,Equal dtype
test_load.py,test_save_and_load_safetensors,named,non-zero scalar fill
test_load.py,test_save_and_load_safetensors,named,non-zero scalar fill
test_load.py,test_save_and_load_safetensors,named,non-zero scalar fill
test_load.py,test_save_and_load_safetensors,named,non-zero scalar fill
test_load.py,test_save_and_load_safetensors,named,non-zero scalar fill
test_load.py,test_save_and_load_safetensors,named,non-zero scalar fill
test_load.py,test_save_and_load_safetensors,named,non-zero scalar fill
test_load.py,test_save_and_load_safetensors,named,non-zero scalar fill
test_load.py,test_save_and_load_safetensors,named,Equal dtype
test_load.py,test_save_and_load_safetensors,named,Equal dtype
test_load.py,test_save_and_load_safetensors,named,Equal dtype
test_load.py,test_save_and_load_safetensors,named,Equal dtype
test_load.py,test_save_and_load_safetensors,named,non-zero scalar fill
test_load.py,test_save_and_load_safetensors,named,non-zero scalar fill
test_load.py,test_save_and_load_safetensors,named,non-zero scalar fill
test_load.py,test_save_and_load_safetensors,named,non-zero scalar fill
test_load.py,test_save_and_load_safetensors,named,non-zero scalar fill
test_load.py,test_save_and_load_safetensors,named,non-zero scalar fill
test_load.py,test_save_and_load_safetensors,named,non-zero scalar fill
test_load.py,test_save_and_load_safetensors,named,non-zero scalar fill
test_load.py,test_savez_and_loadz,named,Equal dtype
test_load.py,test_savez_and_loadz,named,Equal dtype
test_load.py,test_savez_and_loadz,named,Equal dtype
test_load.py,test_savez_and_loadz,named,Equal dtype
test_load.py,test_savez_and_loadz,named,Equal dtype
test_losses.py,test_margin_ranking_loss,named,Negative dtype
test_memory.py,test_active_memory_count,assert,
test_memory.py,test_memory_info,assert,
test_nn.py,test_circular_leaks,assert,
test_nn.py,test_quantize,named,Quantize mode
test_nn.py,test_quantized_sharded_linear_construction,named,Quantize bits
test_nn.py,test_causal_mask,named,dtype converting copy
test_nn.py,test_gru,assert,
test_nn.py,test_pooling,assert,
test_nn.py,test_upsample,named,dtype converting copy
test_nn.py,test_upsample_align_corners_one_dim,named,dtype converting copy
test_ops.py,test_add,named,Add dtype
test_ops.py,test_arange_corner_cases_cast,named,Arange dtype
test_ops.py,test_arange_inferred_dtype,named,Arange dtype
test_ops.py,test_binary_ops,named,Add dtype
